bechdel_id,imdb_id,bechdel_rating,title,year,passed,imdb_rating,num_votes,type,runtime_minutes,genres
5599,tt3175038,2,Ek Villain,2014,Fail,6.5,18753,movie,129,"Action,Crime,Drama"
5598,tt2109248,3,Transformers: Age of Extinction,2014,Pass,5.6,308651,movie,165,"Action,Adventure,Sci-Fi"
5597,tt3416742,1,What We Do in the Shadows,2014,Fail,7.7,175186,movie,86,"Comedy,Horror"
5596,tt0112682,3,"City of Lost Children, The",1995,Pass,7.5,67668,movie,112,"Drama,Fantasy,Sci-Fi"
5595,tt0096764,1,"Adventures of Baron Munchausen, The",1988,Fail,7.2,52862,movie,126,"Adventure,Comedy,Fantasy"
5594,tt3421270,3,Asian School Girls,2014,Pass,3.5,689,video,91,"Action,Crime,Thriller"
5593,tt1517470,0,Doragon bôru Z: Atsumare! Gokû Wârudo,1992,Fail,7,470,video,30,"Action,Adventure,Animation"
5592,tt0093220,3,House II: The Second Story,1987,Pass,5.5,11098,movie,88,"Comedy,Fantasy,Horror"
5590,tt2910274,3,Obvious Child,2014,Pass,6.8,24926,movie,84,"Comedy,Drama,Romance"
5589,tt2319580,1,"Grand Seduction, The",2013,Fail,7,17318,movie,113,Comedy
5587,tt2543508,3,Life Inside Out,2013,Pass,6.6,265,movie,102,Drama
5586,tt1305714,3,Make the Yuletide Gay,2009,Pass,6.6,3558,movie,89,"Comedy,Romance"
5585,tt0441774,3,Lonely Hearts,2006,Pass,6.4,21339,movie,108,"Biography,Crime,Drama"
5584,tt0830570,3,I Can't Think Straight,2008,Pass,6.5,8443,movie,82,"Drama,Romance"
5583,tt0348062,3,"So, You've Downloaded a Demon",2007,Pass,5.4,121,movie,90,"Comedy,Horror"
5581,tt0100691,2,Stella,1990,Fail,6.2,2640,movie,109,"Drama,Romance"
5580,tt0107969,1,Rising Sun,1993,Fail,6.3,45102,movie,125,"Action,Crime,Drama"
5579,tt2013293,3,Kaze tachinu,2013,Pass,7.8,81845,movie,126,"Animation,Biography,Drama"
5576,tt2179116,2,"Kings of Summer, The",2013,Fail,7.1,80614,movie,95,"Adventure,Comedy,Drama"
5575,tt1488555,1,"Change-Up, The",2011,Fail,6.3,178727,movie,112,"Comedy,Fantasy"
5574,tt0096969,3,Born on the Fourth of July,1989,Pass,7.2,104046,movie,145,"Biography,Drama,War"
5573,tt0377752,3,Dear Frankie,2004,Pass,7.7,21679,movie,105,"Drama,Romance"
5572,tt1665418,3,Dorfman in Love,2011,Pass,6.1,1522,movie,92,"Comedy,Drama,Romance"
5571,tt0364385,3,Ju-on: The Grudge,2002,Pass,6.7,43733,movie,92,Horror
5570,tt1549920,1,"Last Stand, The",2013,Fail,6.3,137696,movie,107,"Action,Thriller"
5569,tt0094824,3,Caddyshack II,1988,Pass,3.8,15550,movie,98,"Comedy,Sport"
5568,tt1682246,3,Girl Walks Into a Bar,2011,Pass,5.7,4986,movie,80,"Comedy,Drama,Romance"
5567,tt0264395,3,Basic,2003,Pass,6.5,62273,movie,98,"Action,Crime,Drama"
5566,tt2545186,2,A coup sur,2014,Fail,4.7,588,movie,91,Comedy
5564,tt0089885,0,Re-Animator,1985,Fail,7.2,62171,movie,84,"Comedy,Horror,Sci-Fi"
5563,tt0089173,3,Friday the 13th: A New Beginning,1985,Pass,4.8,37544,movie,92,"Horror,Mystery,Thriller"
5562,tt1920945,3,Good Vibrations,2012,Pass,7.2,5107,movie,103,"Biography,Drama,Music"
5560,tt0252866,3,American Pie 2,2001,Pass,6.4,250754,movie,108,Comedy
5559,tt2345737,0,"Rover, The",2014,Fail,6.4,47255,movie,103,"Action,Crime,Drama"
5558,tt1660379,3,House of Tolerance,2011,Pass,6.7,6886,movie,122,Drama
5556,tt0100054,0,Lord of the Flies,1990,Fail,6.4,30531,movie,90,"Adventure,Drama,Thriller"
5555,tt0049902,0,Un condamne a mort s'est echappe ou Le vent souffle ou il veut,1956,Fail,8.3,21293,movie,101,"Drama,Thriller,War"
5554,tt0035881,0,Fires Were Started,1943,Fail,6.5,1167,movie,63,"Drama,War"
5553,tt2412568,2,Ragamuffin,2014,Fail,6.9,1178,movie,137,"Biography,Drama"
5552,tt0383216,1,"Pink Panther, The",2006,Fail,5.7,85300,movie,93,"Adventure,Comedy,Crime"
5551,tt0115964,3,Crash,1996,Pass,6.4,57779,movie,100,Drama
5550,tt0367479,3,After the Sunset,2004,Pass,6.3,46917,movie,97,"Action,Comedy,Crime"
5549,tt0859594,3,Barbie in the 12 Dancing Princesses,2006,Pass,6.9,4463,video,83,"Animation,Family"
5548,tt0077215,3,Battlestar Galactica,1978,Pass,6.9,9629,movie,148,"Action,Adventure,Sci-Fi"
5547,tt0478976,3,Bad Reputation,2005,Pass,4.1,796,movie,90,"Drama,Horror,Thriller"
5545,tt0131369,1,EdTV,1999,Fail,6.1,43127,movie,122,"Comedy,Drama"
5544,tt0175142,3,Scary Movie,2000,Pass,6.2,252186,movie,88,Comedy
5543,tt1198199,3,About Sunny,2011,Pass,6.3,356,movie,103,Drama
5542,tt2140577,3,"Pretty One, The",2013,Pass,6.3,9602,movie,90,"Comedy,Drama"
5541,tt1464191,3,Decoding Annie Parker,2013,Pass,6.2,3162,movie,91,Drama
5540,tt2212008,1,"Bag Man, The",2014,Fail,5.2,16910,movie,108,"Action,Crime,Drama"
5539,tt0253474,1,"Pianist, The",2002,Fail,8.5,795245,movie,150,"Biography,Drama,Music"
5538,tt1745686,0,Die Wand,2012,Fail,6.8,6351,movie,108,"Drama,Mystery,Sci-Fi"
5537,tt2289920,3,Justice Is Mind,2013,Pass,6.4,290,movie,153,"Crime,Drama,Mystery"
5536,tt1520453,3,Twelve Thirty,2010,Pass,4.6,247,movie,126,Drama
5535,tt1571249,3,"Skeleton Twins, The",2014,Pass,6.8,42092,movie,93,"Comedy,Drama,Romance"
5534,tt0103959,3,Chopper Chicks in Zombietown,1989,Pass,4.1,1985,movie,86,"Comedy,Horror"
5533,tt0103812,3,"Bikini Carwash Company, The",1992,Pass,4.6,1043,movie,87,Comedy
5531,tt0071402,3,Death Wish,1974,Pass,7,38635,movie,93,"Action,Crime,Drama"
5530,tt0440963,2,"Bourne Ultimatum, The",2007,Fail,8,624344,movie,115,"Action,Mystery,Thriller"
5529,tt1631867,1,Edge of Tomorrow,2014,Fail,7.9,648787,movie,113,"Action,Adventure,Sci-Fi"
5528,tt0120620,3,Brokedown Palace,1999,Pass,6.5,22535,movie,100,"Drama,Mystery,Thriller"
5527,tt2692904,0,Locke,2013,Fail,7.1,146167,movie,85,Drama
5526,tt2479800,3,Palo Alto,2013,Pass,6.2,28901,movie,100,Drama
5525,tt1951181,3,"Immigrant, The",2013,Pass,6.6,31489,movie,120,"Drama,Romance"
5524,tt0368222,3,Romance & Cigarettes,2005,Pass,6.2,12223,movie,105,"Comedy,Musical,Romance"
