genre1,genre3,imdb_id,passed,type,title,bechdel_id,bechdel_rating,num_votes,runtime_minutes,imdb_rating,year,genre2
Action,,tt0069697,Fail,movie,"Watch Out, We're Mad",9778,0,12045,102,7.4,1974,Comedy
Comedy,,tt0070215,Fail,movie,My Name Is Nobody,9777,0,26521,116,7.4,1973,Western
Action,,tt0087481,Fail,movie,Double Trouble,9776,0,10042,99,7.2,1984,Comedy
Adventure,Romance,tt0076175,Fail,movie,March or Die,9775,0,3430,107,6.3,1977,Drama
Action,Comedy,tt0069095,Fail,movie,All the Way Boys,9774,0,6765,120,6.7,1972,Adventure
Action,Sci-Fi,tt0194722,Fail,movie,Bridge of Dragons,9773,1,2765,92,4.7,1999,Romance
Action,Thriller,tt0110805,Fail,movie,Pentathlon,9772,0,1887,101,4.4,1994,Drama
Action,Animation,tt1986806,Pass,short,Catwoman,9771,3,3231,15,6.9,2011,Adventure
Action,Thriller,tt0098141,Fail,movie,"Punisher, The",9770,1,23297,89,5.7,1989,Crime
Action,,tt0098180,Fail,movie,Red Scorpion,9769,0,8846,105,5.2,1988,Adventure
Action,Thriller,tt0110490,Fail,movie,Men of War,9768,1,4170,102,5.8,1994,Drama
Biography,Drama,tt7698468,Pass,movie,A Call to Spy,9765,3,6146,123,6.6,2019,Crime
Horror,,tt0062446,Pass,movie,"Rape of the Vampire, The",9764,3,1162,95,5.4,1968,
Drama,Horror,tt0126004,Fail,movie,La rose de fer,9763,0,1947,86,6.1,1973,Fantasy
Drama,,tt0062870,Pass,movie,Marquis de Sade's Justine,9762,3,1738,90,5.2,1969,
Horror,,tt0066914,Pass,movie,La nuit des etoiles filantes,9761,3,2434,105,5,1973,
Horror,,tt0069745,Pass,movie,Female Vampire,9760,3,1850,82,4.8,1973,
Adventure,Thriller,tt0074548,Pass,movie,Love Camp,9759,3,477,79,4.6,1977,Drama
Drama,,tt0095094,Pass,movie,Emmanuelle 6,9758,3,844,90,3.3,1988,
Drama,,tt0077497,Pass,movie,Emmanuelle 3,9757,3,1760,98,4,1977,Romance
Drama,,tt0085486,Pass,movie,Emmanuelle IV,9756,3,1499,92,3.5,1984,Romance
Action,,tt0092962,Fail,movie,Emmanuelle 5,9755,0,1014,85,3.3,1987,Drama
Comedy,,tt0376078,Pass,video,Planet of the Erotic Ape,9754,3,133,68,2.8,2002,
Action,Comedy,tt0098193,Pass,movie,"Return of Swamp Thing, The",9752,3,5432,89,4.8,1989,Adventure
Action,Sci-Fi,tt0096114,Pass,movie,"Sisterhood, The",9751,3,614,75,3.6,1988,Adventure
Adventure,,tt0082700,Pass,movie,Cannibal Ferox,9750,3,9762,93,5.2,1981,Horror
Action,Drama,tt0085250,Pass,movie,Women's Prison Massacre,9749,3,1045,89,4.7,1983,Crime
Action,,tt0069729,Pass,movie,"Arena, The",9748,3,1741,90,5.3,1974,Adventure
Action,Drama,tt0068273,Pass,movie,"Big Bird Cage, The",9747,3,2597,88,5.9,1972,Crime
Drama,,tt3115906,Pass,movie,Nowhereland,9746,3,6719,95,6.5,2016,
Drama,Thriller,tt0377309,Fail,movie,Survival Island,9745,2,9650,95,4.9,2005,Romance
Action,War,tt0458471,Fail,video,Second in Command,9744,0,6539,92,5,2006,Thriller
Action,Thriller,tt0339135,Fail,movie,In Hell,9743,0,19808,98,6.2,2003,Drama
Action,,tt0462329,Pass,video,"Hard Corps, The",9742,3,6071,110,5.2,2006,Thriller
Action,Fantasy,tt0086340,Pass,movie,Sorceress,9741,3,2167,83,4.4,1982,Adventure
Action,Fantasy,tt0090009,Fail,movie,She,9740,1,1633,106,4.8,1984,Adventure
Adventure,,tt0088379,Fail,movie,"Warrior and the Sorceress, The",9739,0,2063,81,4.2,1984,Fantasy
Action,Drama,tt0074080,Fail,movie,Gator Bait,9738,0,1113,88,5.4,1973,Adventure
Action,,tt0094588,Fail,video,Gator Bait 2: Cajun Justice,9737,0,316,99,4.3,1988,
Action,,tt0067206,Pass,movie,"Hitchhikers, The",9736,3,266,92,4.6,1972,Drama
Comedy,Sci-Fi,tt0314713,Fail,video,Space Zombie Bingo!!!,9735,0,291,75,2.7,1993,Horror
Drama,,tt3901340,Fail,movie,Bigfoot: Blood Trap,9734,0,27,95,4.3,2017,Thriller
Drama,,tt0074471,Fail,movie,Emmanuelle bianca e nera,9733,2,179,82,3.8,1976,
Adventure,,tt0074855,Fail,movie,Mandinga,9732,1,200,86,3.5,1976,Drama
